word,sense,WelshSynset_1,WelshSynset_2,WelshSynset_3,WelshSynset_4,WelshSynset_5,WelshSynset_6,WelshSynset_7,WelshSynset_8,WelshSynset_9,WelshSynset_10,WelshSynset_11,WelshSynset_12,WelshSynset_13,WelshSynset_14,WelshSynset_15,WelshSynset_16,WelshSynset_17,WelshSynset_18,WelshSynset_19,WelshSynset_20,WelshSynset_21,WelshSynset_22,WelshSynset_23,WelshSynset_24,WelshSynset_25,WelshSynset_26,WelshSynset_27,WelshSynset_28,WelshSynset_29,WelshSynset_30,WelshSynset_31,WelshSynset_32,WelshSynset_33,WelshSynset_34,WelshSynset_35,WelshSynset_36,WelshSynset_37,WelshSynset_38,WelshSynset_39,WelshSynset_40,WelshSynset_41,WelshSynset_42,WelshSynset_43,WelshSynset_44,WelshSynset_45,WelshSynset_46,WelshSynset_47
gwneud,to do,trefnu , set , gwneud , gwisg , gosod , gorfodi , golafur , do , dehongli , ddaru , creu , awgrymu , ateb , ailwneud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gwneud,artificial,artiffisial , gosod , celfyddydaidd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mynd,to go,mynd , troi , swyn , suro , sownd , sown , rhedeg , plwmp , methu , marw , gweithio , gwaith , gread , gorchwyl , ffael , dod , dichwel , cychwyn , cre , crawc , blend , aedd , aballu,,,,,,,,,,,,,,,,,,,,,,,,
dod,to come,dod , semen , rhif , nifer , had , cyrraedd , cwymp , cwydd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gweld,to see,ystyried , tyst , gweld , deall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dweud,to say,medd , dweud , urdd , dywedyd , darllen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gallu,to be able to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gallu,ableness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rhoi,to give,rhoi , rhoddi , present , offerth , grawnt , fforddio , dyroid , cyfrannu , anrheg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
defnyddio,to use,mwyniad , iwsio , iws , golafur , dicléin , defnyddio , cymsymsiwn , consymsiwn , conswmsiwn , consumsiwn , consumsion , arfer , amwes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gwybod,to know,gwybod , adnabod , sgriw , serch , nabod , medru , gwely , ffwrcho , crwc , caru , asgrwy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
siarad,to speak,siarad , llefaru , ceg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edrych,to look,edrych , ysbïo , ymddangos , sbïo , sbio , sbec , golwg , edrychyd , edrychiad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gweithio,to work,gwaith , gweithio , gorchwyl , chwarae , drama , chwa , rhedeg , llunwedd , bold , deddf , act , gorfodi , golafur , dehongli , creu , awgrymu , gwaith , gweithio , gorchwyl , chwarae , drama , chwa , rhedeg , llunwedd , bold , deddf , act , gorfodi , golafur , dehongli , creu , awgrymu,,,,,,,,,,,,,,,
codi,to raise,tyfu , treth , rhi , magu , lifft , fferm , ffarm , dyrchafu , dyrchafael,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dysgu,to learn,dysgu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gofyn,to ask,holi , gofyn , ceisio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gofyn,a request,petisiwn , erfyn , erchi , deiseb , cais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byw,to live,byw , sbriwus , sbringaidd , sbring-gar , pybyrog , poethus , poeth , nwyfgar , nwyfaidd , iorthiog , hywestl , hudnwy , hoenus , hoenlon , hoenllawn , hoenfyw , gwresowctwym , gwresoctwym , gwreslon , gwreslawn , gwery , gawy , gafwy , elëin , dychynnaid , dihafarchol , diefrydd , diarddwl , diafrddwl , cyfanheddu , bywus , bywog , bywiogaidd , bywiog , bywiaidd , brywiog , bryw , browysig , anwastadnaid , anghofnodedig,,,,,,,
byw,lively,sbriwus , sbringaidd , sbring-gar , pybyrog , nwyfgar , nwyfaidd , miriol , llaws , iorthiog , hywestl , hudnwy , hoenus , hoenlon , hoenllawn , hoenfyw , gwylad , gwery , gawy , gafwy , elëin , dychynnaid , dihafarchol , diefrydd , diarddwl , diagro , diafrddwl , bywus , bywiogaidd , bywiog , bywiaidd , byw , brywiog , bryw , browysig , anwastadnaid,,,,,,,,,,,,
darllen,to read,darllen , trosi , troi , medd , dwyn , dweud , deall , darllenedig , cyfieithu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cofio,to remember,cofio , meddwl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dal,to catch,trans , swyn , perlewyg , gwryfwasg , dal , coler , arsang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clywed,to hear,clywed , trei , profi , cais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cymryd,to take,cymryd , dwyn , ymarwedd , ymarfer , union , taro , prydles , plwm , les , isysgrifennu , isysgrifennaf , i , hyfforddi , hiliogaeth , gwrthgarn , gwidydd , gosgordd , gorfodi , geid , ffilm , ethol , edfryd , dysgu , dychwelyd , dreif , dioddef , dioddau , dewis , dethol , dehongli , darllen , dal , creu , contract , bod , awgrymu , atro , anelu , adfer,,,,,,,,
digwydd,to happen,digwydd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
digwydd,a chance,tsiawns , tsians , siawnsio , siawns , hap , goreubryd , ffortyn , ffortun , ffortiwn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
creu,to create,creu , gwneud , gorfodi , dehongli , awgrymu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newid,to change,newid , trafnidr , newidiad , gwaroden , dullweddiad , amrywiolaeth , amrywder , amrithder , amnewid , altrasiwn , altraeth , altrad , alterasiwn , adnewid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newid,a change,newid , trafnidr , newidiad , gwaroden , dullweddiad , amrywiolaeth , amrywder , amrithder , amnewid , altrasiwn , altraeth , altrad , alterasiwn , adnewid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gadael,to leave,plwm , mynd , gadael , anghofio , allan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cadw,to keep,cadw , rhwystro , maethlonder , dal , carcharbwll , atal , adfaeth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dangos,to show,dangos , tremid , sioe , llun , hunanddan.gosiad , darlun , cyfeiliw , ardeb , apirans , aparawns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cynnal,to maintain,cadw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
credu,to believe,credu , ystyried , meddwl , coelio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dilyn,to follow,olynu , edrych , dilyn , canlyn , bod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
derbyn,to accept,dwyn , derbyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eisiau,to want,uned , rheidusrwydd , rheidusni , moyn , isie , eisio , eisiau , dymuno , difuddiad , difadrwydd , deprifasiwn , anghaffaeliad , amddifadedd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teimlo,to feel,ymdeimlo , teimlo , bys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tynnu,to pull,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
troi,to turn,troi , tyrn , twrn , turnio , troad , tro , swyn , suro , ric , rhif , rhic , piryn , nydd-dro , nifer , mwfflyn , dichwel , deddf , chwythryn , chwithryn , byt , bowt , bit , arwydd , aredig , aradr , act,,,,,,,,,,,,,,,,,,,,,
cyrraedd,to arrive,cyrraedd , dod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyhoeddi,to publish,hiliogaeth , gollwng , cyhoeddi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ceisio,to attempt,trei , profi , cais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dechrau,to start,cychwyn , sgriff , neidio , naid , llamsach , dechreuad , dechrau , cwmensment , cripiad , crip , comensiad , allwthio , aelio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dechrau,the start,cychwyn , sgriff , neidio , naid , llamsach , dechreuad , dechrau , cwmensment , cripiad , crip , comensiad , allwthio , aelio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chwilio,to look for,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyflwyno,to present,anrheg , wyneb , tep , rhoi , presento , present , presenoli , presennol , presant , anrhegu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
