,Gair,lemma,tag,pymusas,synset,lemma.1,tag.1,pymusas_1
193,tro,tro,E,"['M2', 'M1', 'O4.4', 'A1.1.1', 'A2.1+', 'O4.2-']",Celtfest,Celtfest,E,['Z99']
194,tro,tro,E,"['M2', 'M1', 'O4.4', 'A1.1.1', 'A2.1+', 'O4.2-']",Erfyrt,Erfyrt,E,['Z99']
195,tro,tro,E,"['M2', 'M1', 'O4.4', 'A1.1.1', 'A2.1+', 'O4.2-']",Shaoghal,Shaoghal,E,['Z99']
196,tro,tro,E,"['M2', 'M1', 'O4.4', 'A1.1.1', 'A2.1+', 'O4.2-']",Dringwyd,dringo,B,"['M1', 'N5+/A2.1']"
197,tro,tro,E,"['M2', 'M1', 'O4.4', 'A1.1.1', 'A2.1+', 'O4.2-']",cynta,un,Rhi,"['N4', 'P1@']"
198,tro,tro,E,"['M2', 'M1', 'O4.4', 'A1.1.1', 'A2.1+', 'O4.2-']",Gasperi,Gasperi,E,['Z99']
199,tro,tro,E,"['M2', 'M1', 'O4.4', 'A1.1.1', 'A2.1+', 'O4.2-']",hwn,hwn,Rha,['A13.3']
203,llyfr,llyfr,E,"['A9+/Q2.2', 'G2.1']",Carminum,Carminum,E,['Z99']
204,llyfr,llyfr,E,"['A9+/Q2.2', 'G2.1']",awdur,awdur,E,"['Q1.2', 'Q4.1']"
205,llyfr,llyfr,E,"['A9+/Q2.2', 'G2.1']",Pumllyfr,Pumllyfr,E,['Z99']
206,llyfr,llyfr,E,"['A9+/Q2.2', 'G2.1']",Anargraffiedig,Anargraffiedig,E,['Z99']
207,llyfr,llyfr,E,"['A9+/Q2.2', 'G2.1']",hanes,hanes,E,"['T1.1.1', 'P1/T1.1.1', 'Q2.1', 'B2']"
208,llyfr,llyfr,E,"['A9+/Q2.2', 'G2.1']",Epistularum,Epistularum,E,['Z99']
209,llyfr,llyfr,E,"['A9+/Q2.2', 'G2.1']",Dyddlyfr,dyddlyfr,E,"['Q4.2', 'Q1.2']"
211,cwrs,cwrs,E,['M1'],cwrslyfr,cwrslyfr,unk,['Z99']
214,cwrs,cwrs,E,['M1'],fodiwlau,modiwl,E,"['P1', 'N5.1-', 'M3/W1']"
215,cwrs,cwrs,E,['M1'],ôlradd,ôlradd,unk,['Z99']
216,cwrs,cwrs,E,['M1'],modiwlau,modiwl,E,"['P1', 'N5.1-', 'M3/W1']"
218,cwrs,cwrs,E,['M1'],TGAU,TGAU,E,['Z99']
219,cwrs,cwrs,E,['M1'],Modiwlau,modiwl,E,"['P1', 'N5.1-', 'M3/W1']"
221,cwrs,cwrs,E,['M1'],cwrslyfr,cwrslyfr,unk,['Z99']
224,cwrs,cwrs,E,['M1'],fodiwlau,modiwl,E,"['P1', 'N5.1-', 'M3/W1']"
225,cwrs,cwrs,E,['M1'],ôlradd,ôlradd,unk,['Z99']
226,cwrs,cwrs,E,['M1'],modiwlau,modiwl,E,"['P1', 'N5.1-', 'M3/W1']"
228,cwrs,cwrs,E,['M1'],TGAU,TGAU,E,['Z99']
229,cwrs,cwrs,E,['M1'],Modiwlau,modiwl,E,"['P1', 'N5.1-', 'M3/W1']"
232,rhaglen,rhaglen,E,['Y2'],deledu,teledu,E,['Q4.3']
233,rhaglen,rhaglen,E,['Y2'],6rhaglen,6rhaglen,unk,['Z99']
