Gair,lemma,tag,pymusas,synset,lemma,tag,pymusas_1
pen,pen,E,"['S7.1+', 'K5.1', 'M1', 'N5', 'A2.1+', 'A11.1+', 'Q1.2', 'T1.1.3']",PGP,PGP,E,['Z99']
pen,pen,E,"['S7.1+', 'K5.1', 'M1', 'N5', 'A2.1+', 'A11.1+', 'Q1.2', 'T1.1.3']",gwyrddrheso,gwyrddrheso,unk,['Z99']
pen,pen,E,"['S7.1+', 'K5.1', 'M1', 'N5', 'A2.1+', 'A11.1+', 'Q1.2', 'T1.1.3']",cochla,cochli | cochli,B | B,['B5']
pen,pen,E,"['S7.1+', 'K5.1', 'M1', 'N5', 'A2.1+', 'A11.1+', 'Q1.2', 'T1.1.3']",rheso,rheso,unk,['Z99']
lle,lle,Rha,['M6'],ond,ond,Cys,['Z5']
lle,lle,Rha,['M6'],ger,ger,Ar,['Z5']
lle,lle,Rha,['M6'],Buncton,Buncton,E,['Z99']
lle,lle,Rha,['M6'],mewn,mewn,Ar,['Z5']
lle,lle,Rha,['M6'],Belgravia,Belgravia,E,['Z99']
lle,lle,Rha,['M6'],ble,ble,Rha,['M6']
lle,lle,Rha,['M6'],Clayesmore,Clayesmore,E,['Z99']
lle,lle,Rha,['M6'],Llynedd,llynedd,Adf,['Z99']
lle,lle,Rha,['M6'],ceir,car,E,['M3fn']
lle,lle,Rha,['M6'],yno,yno,Adf,"['M6', 'T1.2']"
mis,mis,E,['T1.3'],Mai,Mai,E,['T1.3']
mis,mis,E,['T1.3'],Medi,Medi,E,['T1.3']
mis,mis,E,['T1.3'],Hydref,Hydref,E,['T1.3']
mis,mis,E,['T1.3'],Mehefin,Mehefin,E,['T1.3']
mis,mis,E,['T1.3'],Ebrill,Ebrill,E,['T1.3']
mis,mis,E,['T1.3'],Awst,Awst,E,['T1.3']
mis,mis,E,['T1.3'],Mawrth,Mawrth,E,"['Z3c', 'Z1/W1', 'S9/T1.1.1@']"
mis,mis,E,['T1.3'],Tachwedd,Tachwedd,E,['T1.3']
mis,mis,E,['T1.3'],flwyddyn,blwyddyn,E,"['T1.3', 'P1c']"
mis,mis,E,['T1.3'],Gorffennaf,Gorffennaf,E,['T1.3']
tro,tro,E,"['M2', 'M1', 'O4.4', 'A1.1.1', 'A2.1+', 'O4.2-']",cyntaf,un,Rhi,"['N4', 'P1@']"
tro,tro,E,"['M2', 'M1', 'O4.4', 'A1.1.1', 'A2.1+', 'O4.2-']",ers,ers,Ar,['N4']
tro,tro,E,"['M2', 'M1', 'O4.4', 'A1.1.1', 'A2.1+', 'O4.2-']",erioed,erioed,Adf,['T1/Z6']
tro,tro,E,"['M2', 'M1', 'O4.4', 'A1.1.1', 'A2.1+', 'O4.2-']",Celtfest,Celtfest,E,['Z99']
tro,tro,E,"['M2', 'M1', 'O4.4', 'A1.1.1', 'A2.1+', 'O4.2-']",Erfyrt,Erfyrt,E,['Z99']
tro,tro,E,"['M2', 'M1', 'O4.4', 'A1.1.1', 'A2.1+', 'O4.2-']",Shaoghal,Shaoghal,E,['Z99']
tro,tro,E,"['M2', 'M1', 'O4.4', 'A1.1.1', 'A2.1+', 'O4.2-']",Dringwyd,dringo,B,"['M1', 'N5+/A2.1']"
tro,tro,E,"['M2', 'M1', 'O4.4', 'A1.1.1', 'A2.1+', 'O4.2-']",cynta,un,Rhi,"['N4', 'P1@']"
tro,tro,E,"['M2', 'M1', 'O4.4', 'A1.1.1', 'A2.1+', 'O4.2-']",Gasperi,Gasperi,E,['Z99']
tro,tro,E,"['M2', 'M1', 'O4.4', 'A1.1.1', 'A2.1+', 'O4.2-']",hwn,hwn,Rha,['A13.3']
llyfr,llyfr,E,"['A9+/Q2.2', 'G2.1']",llyfrau,llyfr,E,"['Q4.1', 'Q1.2', 'I1/Q1.2', 'K5.1/I1']"
llyfr,llyfr,E,"['A9+/Q2.2', 'G2.1']",lyfr,llyfr,E,"['A9+/Q2.2', 'G2.1']"
llyfr,llyfr,E,"['A9+/Q2.2', 'G2.1']",Llyfr,llyfr,E,"['A9+/Q2.2', 'G2.1']"
llyfr,llyfr,E,"['A9+/Q2.2', 'G2.1']",Carminum,Carminum,E,['Z99']
llyfr,llyfr,E,"['A9+/Q2.2', 'G2.1']",awdur,awdur,E,"['Q1.2', 'Q4.1']"
llyfr,llyfr,E,"['A9+/Q2.2', 'G2.1']",Pumllyfr,Pumllyfr,E,['Z99']
llyfr,llyfr,E,"['A9+/Q2.2', 'G2.1']",Anargraffiedig,Anargraffiedig,E,['Z99']
llyfr,llyfr,E,"['A9+/Q2.2', 'G2.1']",hanes,hanes,E,"['T1.1.1', 'P1/T1.1.1', 'Q2.1', 'B2']"
llyfr,llyfr,E,"['A9+/Q2.2', 'G2.1']",Epistularum,Epistularum,E,['Z99']
llyfr,llyfr,E,"['A9+/Q2.2', 'G2.1']",Dyddlyfr,dyddlyfr,E,"['Q4.2', 'Q1.2']"
cwrs,cwrs,E,['M1'],Cwrs,cwrs,E,['M1']
cwrs,cwrs,E,['M1'],cwrslyfr,cwrslyfr,unk,['Z99']
cwrs,cwrs,E,['M1'],cyrsiau,cwrs,E,"['M6', 'X7+', 'P1', 'B3', 'F1', 'M7/K5.1', 'T1.3']"
cwrs,cwrs,E,['M1'],gyrsiau,cwrs,E,['M1']
cwrs,cwrs,E,['M1'],fodiwlau,modiwl,E,"['P1', 'N5.1-', 'M3/W1']"
cwrs,cwrs,E,['M1'],ôlradd,ôlradd,unk,['Z99']
cwrs,cwrs,E,['M1'],modiwlau,modiwl,E,"['P1', 'N5.1-', 'M3/W1']"
cwrs,cwrs,E,['M1'],Cyrsiau,cwrs,E,['M1']
cwrs,cwrs,E,['M1'],TGAU,TGAU,E,['Z99']
cwrs,cwrs,E,['M1'],Modiwlau,modiwl,E,"['P1', 'N5.1-', 'M3/W1']"
cwrs,cwrs,E,['M1'],Cwrs,cwrs,E,['M1']
cwrs,cwrs,E,['M1'],cwrslyfr,cwrslyfr,unk,['Z99']
cwrs,cwrs,E,['M1'],cyrsiau,cwrs,E,"['M6', 'X7+', 'P1', 'B3', 'F1', 'M7/K5.1', 'T1.3']"
cwrs,cwrs,E,['M1'],gyrsiau,cwrs,E,['M1']
cwrs,cwrs,E,['M1'],fodiwlau,modiwl,E,"['P1', 'N5.1-', 'M3/W1']"
cwrs,cwrs,E,['M1'],ôlradd,ôlradd,unk,['Z99']
cwrs,cwrs,E,['M1'],modiwlau,modiwl,E,"['P1', 'N5.1-', 'M3/W1']"
cwrs,cwrs,E,['M1'],Cyrsiau,cwrs,E,['M1']
cwrs,cwrs,E,['M1'],TGAU,TGAU,E,['Z99']
cwrs,cwrs,E,['M1'],Modiwlau,modiwl,E,"['P1', 'N5.1-', 'M3/W1']"
rhaglen,rhaglen,E,['Y2'],raglen,rhaglen,E,['Y2']
rhaglen,rhaglen,E,['Y2'],Rhaglen,rhaglen,E,['Y2']
rhaglen,rhaglen,E,['Y2'],deledu,teledu,E,['Q4.3']
rhaglen,rhaglen,E,['Y2'],6rhaglen,6rhaglen,unk,['Z99']
rhaglen,rhaglen,E,['Y2'],rhagleni,rhagleni,unk,['Z99']
rhaglen,rhaglen,E,['Y2'],Ralïo,Ralïo,E,['Z99']
rhaglen,rhaglen,E,['Y2'],chwaerraglen,chwaerraglen,unk,['Z99']
rhaglen,rhaglen,E,['Y2'],XRay,XRay,E,['Z99']
rhaglen,rhaglen,E,['Y2'],israglen,israglen,unk,['Z99']
rhaglen,rhaglen,E,['Y2'],rhaglenni,rhaglen,E,['Y2']
diolch,diolch,B,['S1.2.4+'],Mulţumesc,Mulţumesc,E,['Z99']
diolch,diolch,E,['S1.2.4+'],takka,takka,unk,['Z99']
diolch,diolch,B,['S1.2.4+'],alíila,alíila,unk,['Z99']
diolch,diolch,E,['S1.2.4+'],ˈθaʰka,ˈθaʰka,unk,['Z99']
diolch,diolch,B,['S1.2.4+'],diolchwn,diolch,B,['S1.2.4+']
diolch,diolch,E,['S1.2.4+'],þakka,þakka,unk,['Z99']
diolch,diolch,B,['S1.2.4+'],takk,takk,unk,['Z99']
diolch,diolch,E,['S1.2.4+'],niolch,diolch | diolch,E | B,['Z99']
diolch,diolch,B,['S1.2.4+'],Ddiolch,diolch,E,['S1.2.4+']
diolch,diolch,E,['S1.2.4+'],diolchwch,diolch | diolch,B | B,['S1.2.4+']
aelod,aelod,E,"['S5+/S2mf', 'B1']",aelodau,aelod,E,"['S5+/S2mf', 'B1']"
aelod,aelod,E,"['S5+/S2mf', 'B1']",Cynwleidydd,Cynwleidydd,E,['Z99']
aelod,aelod,E,"['S5+/S2mf', 'B1']",Aelod,aelod,E,"['S5+/S2mf', 'B1']"
aelod,aelod,E,"['S5+/S2mf', 'B1']",Haelod,aelod,E,"['S5+/S2mf', 'B1']"
aelod,aelod,E,"['S5+/S2mf', 'B1']",Cynaelod,Cynaelod,E,['Z99']
aelod,aelod,E,"['S5+/S2mf', 'B1']",grŵp,grŵp,E,"['S5+', 'A4.1', 'B3%']"
aelod,aelod,E,"['S5+/S2mf', 'B1']",Aaelod,Aaelod,E,['Z99']
aelod,aelod,E,"['S5+/S2mf', 'B1']",seneddol,seneddol,Ans,['G1.1']
aelod,aelod,E,"['S5+/S2mf', 'B1']",aelodbleidiau,aelodbleidiau,unk,['Z99']
aelod,aelod,E,"['S5+/S2mf', 'B1']",aelodaeth,aelodaeth,E,"['S5+c', 'P1']"
gair,gair,E,['Q3'],ystyr,ystyr,E,"['X2.1', 'A11.1+', 'Q3', 'X7+']"
gair,gair,E,['Q3'],ahal,ahal,unk,['Z99']
gair,gair,E,['Q3'],rhegair,rhegair,unk,['Z99']
gair,gair,E,['Q3'],Geirdarddiad,Geirdarddiad,E,['Z99']
gair,gair,E,['Q3'],asSuʻūdīyah,asSuʻūdīyah,unk,['Z99']
gair,gair,E,['Q3'],geirdarddiad,geirdarddiad,unk,['Z99']
gair,gair,E,['Q3'],merin,merin,unk,['Z99']
gair,gair,E,['Q3'],Geiryn,Geiryn,E,['Z99']
gair,gair,E,['Q3'],verbum,verbum,unk,['Z99']
gair,gair,E,['Q3'],fasces,fasces,unk,['Z99']
oed,oed,E,"['T3++', 'T3']",mlwydd,blwydd,E,"['T1.3', 'P1c']"
oed,oed,E,"['T3++', 'T3']",hyd,hyd,E,"['N3.7', 'T1.3', 'M4']"
oed,oed,E,"['T3++', 'T3']",1214,1214,Gw,['Z99']
oed,oed,E,"['T3++', 'T3']",pan,pan,Cys,['Z5']
oed,oed,E,"['T3++', 'T3']",1618,1618,Gw,['Z99']
oed,oed,E,"['T3++', 'T3']",wythmlwydd,wythmlwydd,unk,['Z99']
oed,oed,E,"['T3++', 'T3']",79,79,Gw,['Z99']
oed,oed,E,"['T3++', 'T3']",14mlwydd,14mlwydd,unk,['Z99']
oed,oed,E,"['T3++', 'T3']",17mlwydd,17mlwydd,unk,['Z99']
oed,oed,E,"['T3++', 'T3']",201590,201590,Gw,['Z99']
llywodraeth,llywodraeth,E,['G1.1c'],Llywodraeth,llywodraeth,E,['G1.1c']
